==============================================
        支撑轴力迭代中间数据
        导出时间：2026/9/7 16:03:24
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
 7    66    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
 7    67    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
 7    68    1.5943  -1.1649e+005   1.6667e+005   7.4468e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0077e+006  -4.5129e+005   5.0072e+005  -2.3570e+005
 7    69    1.5813  -1.2198e+005   1.6667e+005   7.5897e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0477e+006  -4.5548e+005   5.0952e+005  -2.4119e+005
 7    70    1.5813  -1.2198e+005   1.6667e+005   7.5897e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0477e+006  -4.5548e+005   5.0952e+005  -2.4119e+005
 7    71    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    72    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    73    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    74    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    75    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    76    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    77    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    78    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    79    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    80    1.5723  -1.2135e+005   1.6672e+005   7.5724e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0429e+006  -4.5499e+005   5.0847e+005  -2.4051e+005
 7    81    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    82    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    83    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    84    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    85    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    86    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    87    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    88    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    89    1.5718  -1.2154e+005   1.6687e+005   7.5746e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0438e+006  -4.5512e+005   5.0866e+005  -2.4054e+005
 7    90    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    91    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    92    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    93    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
 7    94    1.5710  -1.2171e+005   1.6686e+005   7.5793e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0451e+006  -4.5526e+005   5.0895e+005  -2.4072e+005
